Signed Contract,Updated Staffing Plan,Bay Door,Date of Install,Unit #,Test Center ID,Station Name,Address,City,Zip,County,Phone,Type,Dealer #,Primary Email,Secondary Email,Station Contact,Opus Comments,Follow Up Comments,Station Comments/Complaints
Y,,,,CT2100085,ST0005023,Tasca Ford,250 Webster Square,Berlin,06037,Hartford,(860) 828-3546,OBD Plus,,tmoran@tasca.com,,Tom Moran or Dale White,"3/27/25 - advised of numerous reports of turn aways and possible decert 4/15/25 - passed covert audit, doing much better now",,
Y - under served,emailed has not changed?,,,CT2100193,ST0005025,Marvins Midway Auto,28 Amston Road,Colchester,06415,New London,(860) 537-4900,OBD Plus,,midwayauto07@sbcglobal.net,,"Wilbert ""Bert"" Marvin - owner",restroom needs to be ceaner,,
Y,,,,CT2100206,ST0005027,Falbos Tire and Auto Center,163 West Street,Seymour,06483,New Haven,(203) 888-4329,OBD Plus,,autowiseCT@gmail.com,akautowise@gmail.com,Andrew Chapin,,,
Y,,10',,CT2100159,ST0005028,Firestone - Branford,686 West Main Street,Branford,06405,New Haven,(203) 488-1712,OBD Plus,,robertsjennifer@bfusa.com,szimmerman@bfrc.com,Jason Hollingsworth - Sta Mgr,posters blocking view of test,,
y,,,,CT2100047,ST0005032,A1 Complete Autocare LLC,655 Boston Post Road,Guilford,06437,New Haven,(203) 689-5069,Full Service,,jonmcd5656@yahoo.com,mcdonaldjamesr@gmail.com,James McDonald,,,
Y,2/4/2026,10',,CT2100167,ST0005036,Firestone - West Haven,525 Saw Mill Road,West Haven,06516,New Haven,(203) 933-7750,OBD Plus,,robertsjennifer@bfusa.com,szimmerman@bfrc.com,Marlin Lawrence - Sta Mgr,,,
y,3/10/2026,,,CT2100089,ST0005039,L & S Automotive LLC,1157 Meriden-Waterbury Tpke,Plantsville,06479,Hartford,(860) 621-7372,OBD Plus,,lsautomotivesales@gmail.com,dlbstreetglide@yahoo.com,Davis Langbury - Svc Mgr,"4/22/24 - received a station compliment, quick & will return their for future testing needs",,
Y,6/2/2026,,,CT2100209,ST0005040,Anthony's High Tech Auto Center - Milford,541 New Haven Avenue,Milford,06460,New Haven,(203) 874-4335,Full Service,,ghughes247@gmail.com,salcasa13@gmail.com,Gregory Hughes - Mgr,very upset with Applus,,
Y,,10',,CT2100078,ST0005041,Rose Brother's Garage,351 Boston Post Road,North Windham,06256,Windham,(860) 450-0334,OBD Plus,,Rosebrothersgarage@gmail.com,,Dave Rose - owner,"bathroom small and dirty, owner has plans to update in future",,
Y - under served,2/5/2026,11',,CT2100139,ST0005043,T & S Oil Company,200 Ward Avenue,Moosup,06354,Windham,(860) 564-5091,OBD Plus,,info@tandsoil.com,,Bruce Dawley,,,
Y,,,,CT2100199,ST0005044,R J  Shore Automotive LLC,1229 Foxon Road,North Branford,06471,New Haven,(203) 484-1181,OBD Plus,,mjifinancial@att.net,,James Bruneau,,,
Y,5/15/2026,12' x 12' wide,,CT2100148,ST0005046,J & J Auto Repair LLC,4 Lanesville Road,New Milford,06776,Litchfield,(860) 717-4349,OBD Plus,,jjmotorsct@gmail.com,,Antonio Jurado,,,
Y - under served,3/24/2026,,,CT2100222,ST0005047,East Coast Auto Sales,2 Business Parkway,Griswold,06351,New London,(860) 376-5000,OBD Plus,,eastcoastautogroupllc@hotmail.com,,Noah Perkins,,,
Y,2/4/2026,12',,CT2100185,ST0005050,Guilford Texaco Inc.,2293 Boston Post Road,Guilford,06437,New Haven,(203) 453-4961,OBD Plus,,ap@guilfordtexaco.com,ernie1104@comcast.net,Joe Famiglietti,,,
Y,2/4/2026,"9' 11""",,CT2100011,ST0005051 - 8/5/26 - advised will be withdrawing at year end,Anthony's Service Station,128 East Main Street,Plainville,06062,Hartford,(860) 747-5791,OBD Plus,,anthonyservicestation@gmail.com,,"William Vivier, Sta Mgr     sta alt # ( 860) 793-6036 (emerg cell) 347-257-6577",,,
Y,2/16/2026,"9' 9"" x 9' 10"" wide",,CT2100068,ST0005052,South Green Automotive,880 Wethersfield Avenue,Hartford,06114,Hartford,(860) 296-2616,OBD Plus,,sgreencars@gmail.com,Jennifer.thomasttrl@gmail.com,Jorge Torres - Sta Mgr,,,
Y,3/25/2026,small 8' for emissions but 10' door in adjacent bay see notes ?,,CT2100111,ST0005056,Saybrook Auto Barn,342 Middlesex Turnpike,Old Saybrook,06475,Middlesex,(860) 388-2886  owner's cell (860) 575-5057,OBD Plus,,garya@saybrookautobarn.com,,Ricky Hanson - Mgr     Gary - owner,8' bay door however they can pull certain oversize vehicles in the adjacent 10' door and angle to stay in view of the bay camera but it depends on the length to make the turn,,
Y,,,,CT2100142,ST0005057,"R.J. Shore Automotive, LLC",80 Shore Drive,Branford,06405,New Haven,(203) 488-3677,OBD Plus,,mjifinancial@att.net,,Harry DiNardi - Sta Mgr,limited parking,,
Y,3/24/2026,"10' 6"" x 9' x 9"" wide",,CT2100125,ST0005059,Quiet Zone of Torrington,1299 East Main Street,Torrington,06790,Litchfield,(860) 618-7007,OBD Plus,,qztorrington@gmail.com,,John Atwood - Mgr,,,
Y,7/25/2026,,,CT2100109,ST0005063,Copeland Auto Repair LLC,1451 Highland Avenue,Cheshire,06410,New Haven,(203) 272-9730,OBD Plus,,copelandautorepair@gmail.com,,Randy Card  - Sta Mgr,"11/15 - motorist complaint, not testing, recording says closed for 3 days but no closure request entered",,
Y,,,,CT2100075,ST0005064,Mitchell Auto Group Inc.,384 Hopmeadow Street,Simsbury,06070,Hartford,(860) 408-6000 x6050         owner's cell (860) 550-0350,OBD Plus,,stevenmitchelljp@gmail.com,," Steven Mitchell, owner",,,
Y,,12' x 10' wide,,CT2100249,ST0005066,Pep Boys #6591 - Mystic,2400 Gold Star Hwy,Mystic,06355,New London,(860) 536-9235,OBD Plus,R7583,svcmngr6591@pepboys.com,,Robert Schmidt - Svc Mgr,5/15/24 - provided updated station information,new station - unit purchased OCT 2022,
Y,3/23/2026,,,CT2100087,ST0005069,J's Auto Sales & Repair LLC,866 West Main Street,New Britain,06053,Hartford,(860) 845-4438,OBD Plus,,jsautos_rllc@yahoo.com,,Jesus or Felix Ruiz owners,,,
Y - under served,,10',,CT2100092,ST0005070,Rose Brother's Garage - Columbia,164 RT 66 East,Columbia,06237,Tolland,(860) 228-3008,OBD Plus,,Rosebrothersgarage@gmail.com,,David Rose - owner,"3/29/23 - Jack sent email asking if they are going to stay or go.  No testing done since Sept 14, 2022",8/22/24 - received call from John (DMV) they have not tested in months. Morgan to contact to see if we can set them up with an inspector,
Y,3/24/2026,,,CT2100150,ST0005073,West End Auto,1262 State Street,Bridgeport,06605,Fairfield,(203) 690-1301,OBD Plus,,bptautosales@gmail.com,,Mazen Aljullaj - owner,,,
Y,3/10/2026,,,CT2100169,ST0005074,Unique Auto Sales LLC,392 East Street,New Haven,06511,New Haven,(203) 684-3171,OBD Plus,U7472,miguel.ctuniqueauto@gmail.com,,Miguel Rivera - owner           (475) 434-6564,,,
Y - under served,,10',,CT2100227,ST0005075,Gabe's,100 North Main Street,Beacon Falls,06403,New Haven,(203) 729-3383,OBD Plus,,gabesstation@comcast.net,,Brian DeGeorge - Sta Mgr,,,
Y - under served,2/4/2026,12' x 10' wide,,CT2100231,ST0005077,Raymond's Auto LLC,892 Route 32,North Franklin,06254,New London,(860) 642-6792,Full Service,,joslynjackie@yahoo.com,,Alexis Rodriguez,,,
Y,7/31/2026,9.5,,CT2100218,ST0005079,General Muffler & Automotive Supply - Ansonia LLC,670 Main Street,Ansonia,06401,New Haven,(203) 735-6406,OBD Plus,,generalmuffler@gmail.com,,Bill Nicoletti Iii - Sta Mgr,"8-6, dyne in bay, claims DMV approved",2/3/25 - DMV advised of lock out due to bond issue 2/5/25 - issue resolved,
Y,2/10/2026,8' x 9' wide,,CT2100086,"ST0005081 - will be moving to a new location in Brooklyn, needs DMV approval ? ",Vachon GMC Cadillac,139 Pomfret Street,Putnam,06260,Windham,(860) 928-6572,OBD Plus,,daveg@checkvachon.com,,Dave Guillot - Svc Mgr,"3/5/2026 - advised will be moving to a new location at 445 Providence Rd, Brooklyn in 6-8 months, needs new DNR and DMV approval","site is under construction, will let us know when ready for a site visit",
y,5/5/2026,12',,CT2100135,ST0005082,Newtown Car Care Center Inc.,3 Commerce Road,Newtown,06470,Fairfield,(203) 426-7145,OBD Plus,,newtowncarcarecenter@gmail.com,johnkoschel@yahoo.com,Johnny Koschel - Sta Mgr,,,
Y,3/10/2026,13',,CT2100012,ST0005083,Jays Auto Deals On Wheels LLC,333 Main Street,Manchester,06040,Hartford,(860) 646-3444,Full Service,,jaysautoct@gmail.com,,Jay Pitchell - owner,"trash aroud parking lot, no parking, excessive cars onlot, a lot of items on test bay floor",,
Y - under served,3/26/2026,,,CT2100043,ST0005087,CDLS Mobile Repair LLC,915 N Main St,Danielson,06239,Windham,(860) 317-1089,Full Service,,cdlsmobilerepairllc@yahoo.com,cdlsmobile114@yahoo.com,"  Michael Messina, Jr.            Aileen Brennan, Principal",,,
Y,,12',,CT2100154,ST0006008,Old Gate Automotive DBA Midas of Milford,254 Old Gate Lane,Milford,06460,New Haven,(203) 878-7688,OBD Plus,,milfordmidas@optonline.net,,Jim Halpin - owner,5/15/24 - provided updated station information,,
Y,3/24/2026,"8' 9""",,CT2100020,ST0006009,Quiet Zone of Naugatuck,144 Rubber Ave,Naugatuck,06770,New Haven,(203) 632-5865,OBD Plus,,qznaugatuck@gmail.com,,James Gilbert,,,
Y,3/24/2026,14',,CT2100107,ST0006010,Monro Muffler Store #163,150 Danbury Road,New Milford,06776,Litchfield,(860) 354-1233,OBD Plus,,shop163@monrostores.com,cynthia.angora@monro.com,Peter Zaborowski - Store Mgr,,,
Y,,,,CT2100198,ST0006011,Bent Autobahn Automotive Repair LLC,14 Cross St.,Norwalk,06851,Fairfield,(203) 939-1314,OBD Plus,,bentautobahn@gmail.com,,Wayne Bent - owner,10/3/25 - owner will send email advising of withdrawal due to Sat testing requirement,,
Y,,,,CT2100204,ST0006014,Quiet Zone of Orange,404 Boston Post Rd.,Orange,06477,Fairfield,(203) 509-5460,Full Service,,qzorangect@gmail.com,,Jim Oppedisano 203-553-9950,,,
Y,3/6/2026,12',,CT2100114,ST0006017,Modern Tire & Auto Shelton,475 River Rd,Shelton,06484,Fairfield,(203) 924-8863,OBD Plus,,shelton@moderntirect.com,,Lisa or Robert Amenta - owner,,,
Y,,7',,CT2100178,ST0006020,Ray's Stafford Sales & Service,124 W Stafford St,Stafford Springs,06076,Tolland,(860) 684-5789,OBD Plus,,raysstaffordservice@gmail.com,rayscentersquarerepair@outlook.com,"Raymond Pacheco, Jr",,,
Y,,,,CT2100126,ST0006022,Car Central Auto Sales & Service,1191 N Colony Rd,Wallingford,06492,New Haven,203) 303-1723,Full Service,U8820,info@carcentralauto.com,,Samer Abdelsylom - owner,,,
Y,2/6/2026,11',,CT2100128,ST0006024,CarMax,450 Captain Neville Dr,Waterbury,06705,New Haven,(203) 591-1224,OBD Plus,,161094@carmax.com,patrick_s_hermann@carmax.com,Patrick Hermann - Gen Mgr cell (475) 202-2635,6/13/24 - received updated sta info,,
Y,,,,CT2100112,ST0006027,Pep Boys # 421 - West Hartford,1000 New Britain Avenue,West Hartford,06110,Hartford,(860) 570-2525 or cell (215) 430-9379,Full Service,R7901,svcmngr0421@pepboys.com,,Richard Denby - Mgr,,,
Y,3/11/2026,9',,CT2100091,ST0006028,DeGennaro Auto & Truck Repair LLC,28 Locust Street,West Haven,06516,New Haven,(203) 932-0550,Full Service,,degennaroauto@yahoo.com,,Nick DeGennaro - owner,,,
Y,,,,CT2100235,ST0006029,Meineke of Willimantic,1050 Main Street,Willimantic,06226,Windham,(860) 634-5732 or cell (860) 576-8880,Full Service,,2231meineke2475@gmail.com,,Dale Arbo - Mgr,"3/9/24 - received a complaint sta closed at 12 but website showed 1, station advised",,
Y - under served,,,,CT2100058,ST0006030,Showcase Service Center LLC,25 Mihaliak Road,Willington,06279,Tolland,(860) 458-3052,Full Service,,Showcaseautorecovery@gmail.com,showcaseservicecenter@gmail.com,Chris Barr - owner                                    Chelsea Barr - Mgr,,,
Y,2/5/2026,,,CT2100233,ST0006031,Wilton Auto & Tire Center,658 Danbury Rd,Wilton,06897,Fairfield,(203) 761-9541,OBD Plus,,mikel@wiltonautoandtire.com,,Mike Lindquist,,,
Y - under served,4/16/2026,12',,CT2100240,ST0006033,Monro Muffler Store #308,200 New Hartford Road,Winsted,06098,Litchfield,(860) 738-1336,OBD Plus,,Store0308@monro.com,,Ken Mangassarian -  Mgr      Cynthia Angora - Acctg (585) 784-3388,4/28/26 - status to inactive,,
Y,3/13/2026,12',,CT2100205,ST0006035,Axle & Spindle Truck Repair LLC,357 Broad St,Manchester,06040,Hartford,(860) 643-5900     cell  (860) 388-1126,Full Service,,lisa@axletruckrepair.com,gfellows@axletruckrepair.com,George Fellows - owner,,,
Y,4/14/2026,10',,CT2100165,ST0006037,Firestone,1197 Barnum Ave,Stratford,06614,Fairfield,(203) 377-7878 or corp (860) 613-2901 ext 1,OBD Plus,,robertsjennifer@bfusa.com,szimmerman@bfrc.com,James Capriotti - Sta Mgr,"9/29 - 12:11 pm - unable to contact Bob Beaudoin via phone - sent email advising to hold off signing the contract until further notice  2/2 - ok to sign the contract, unit was never picked up so we are going to allow them to participate.  t",,
Y,3/17/2026,,,CT2100137,ST0006041,Sanchez Repair Services LLC,41 South Street,Danbury,06811,Fairfield,(203) 826-7331,OBD Plus,,sanchez-services@hotmail.com,,Jose R. Sanchez,,,
Y,,12',,CT2100212,ST0006043,Monro Muffler Store #156,918 North Colony Road,Wallingford,06492,New Haven,(203) 269-3301,OBD Plus,,Store0156@monro.com,,Brian DeCoster," 2/22/23 - Jack spoke with Brian, Sta Mgr and advised they had defaulted and we would pick up our equipment Monday, 2/7/23 ",,
Y,4/15/2026,12',,CT2100228,ST0006047,Monro Muffler Store #192,548 Talcottville Road,Vernon,06066,Tolland,(860) 871-6955,OBD Plus,,Store0192@monro.com,,Cynthia Angora,,,
Y,,12',,CT2100129,ST0006050,Monro Muffler Store #196,3000 Main Street,Glastonbury,06033,Hartford,(860) 633-0570,OBD Plus,,Store0196@monro.com,,Cynthia Angora,,,
Y,4/14/2026,12',,CT2100157,ST0006053,Monro Muffler Store #207,557 West Main Street,Norwich,06360,New London,(860) 886-8266,OBD Plus,,Store0207@monro.com,,,,,
Y,,12',,CT2100134,ST0006057,Monro Muffler Store #295,2009 Silas Deane Highway,Rocky Hill,06067,Hartford,(860) 257-9414,OBD Plus,,store0295@monro.com,,Cynthia Angora,"10/7/24 - received motorist complaint stating they should not be in program as he went there 3 times this week and no one is ever there to do the testing. No testing done 10/4, one test was done 10/5","8/29/25 - received motorist complaint insp did not want to drive vehicle into bay, no other tech onsite for another 45 mins",
Y,,10',,CT2100160,ST0006066,Monro Muffler Store #522,280 Westport Avenue,Norwalk,06851,Fairfield,(203) 847-6305,OBD Plus,,Store0522@monro.com,,Cynthia Angora,8/16/23 - per Jack they were permanently removed from program,8/17/23 - reinstated,
Y,4/15/2026,12',,CT2100124,"ST0006069 - 7/31/26 - inactive, only 1 insp",Monro Muffler Store #92,656 Farmington Avenue,Bristol,06010,Hartford,(860) 582-3197,OBD Plus,,Store0092@monro.com,,Cynthia Angora," have not tested since 2/8/24 due to staff shortage, closure entered thru MAY 2024,  5/9/24 - resumed testing","1/10/25 - Lenny found no testing note on door, no closure reported so Geoff entered thru Jan ",
Y,3/10/2026,"9' 6"" x 12' wide",,CT2100133,ST0006070,Midas,91 S Main St,Torrington,06790,Litchfield,(860) 302-9996,OBD Plus,R7638,midasoftorrington@midasamg.com,Zveronneau@midasamg.com,Zack Veronneau - Sta Mgr,"10/6/21 - score is not a true reflection of station  1/19/22 - Gage did site visit, approved ",,
Y,3/10/2026,,,CT2100188,ST0006071,Midas,33 Farmington Ave,Bristol,06010,Hartford,(860) 302-9996,OBD Plus,R7637,midasofbristol@midasamg.com,Zveronneau@midasamg.com,Adam Genuario - owner   (203) 856-3843                        Zack Veronneau - Sta Mgr,"10/6/21 - small parking lot but can get 3 spaces, lift at end of bay but will not compromise emissions, will install monitor ","1/19/22 - Gage did site visit, approved ",
Y,7/12/2026,10' but no cars more than 8',,CT2100247,ST0006072,Alex Auto Sales & Repair LLC,1905 Barnum Ave,Bridgeport,06610,Fairfield,(203) 807-6250,OBD Plus,,alexauto1905@gmail.com, 	ali_756@yahoo.com,Muhammad Zulekfal - owner,4/22/22 - ATP completed,,
Y,3/25/2026,,,CT2100232,ST0006073,New Fairfield Automotive,104 Route 39 North,New Fairfield,06812,Fairfield,(203) 746-2422,OBD Plus,,newfairfieldautomotive@gmail.com,,Nick - Owner/Mgr,5/4/22 - new owner of 4170 - DMV and Opus to visit site in near future,,
Y - under served,3/30/2026,"9' 8"" x 9' 5"" wide",,CT2100138,ST0006075,Northwest Auto,32 Railroad St,Canaan,06018,Litchfield,(860) 824-4000,Full Service,U8680,john@northwauto.com,,John Consadine  - owner,6/3/22 - interested in taking over for Arnold's who closed their doors today,,
Y,3/25/2026,12',,CT2100246,ST0006076,Pep Boys #250  - Berlin,44 Berlin Tpke,Berlin,06037,Hartford,(860) 582-1234,OBD Plus,R5533,svcmngr0250@pepboys.com,,Jose Perez - Sta Mgr,new station - unit purchased NOV 2022,"Monitor available, corporate wants emissions due to retail parts sales being closed down, manager didn’t seem to want to be involved in emsissions, right next to Bens Test Station",
Y,2/4/2026,10',,CT2100050,ST0006077,Firestone Southington,288 Queen Street,Southington,06489,Hartford,(860) 863-0381,OBD Plus,R6375,robertsjennifer@bfusa.com,szimmerman@bfrc.com,Nick Frosolone  - Sta Mgr,,,
Y,3/25/2026,10',,CT2100082,ST0006078,Firestone Newington,2897 Berlin Turnpike,Newington,06111,Hartford,(860) 856-9159,OBD Plus,R7408,robertsjennifer@bfusa.com,szimmerman@bfrc.com,Dennis Freeman - Sta Mgr,,,
Y,3/19/2026,10',,CT2100152,ST0006079,TB12 Service LLC  dba Old Greenwich Service Station (Shell),1429 E Putnam Ave,Old Greenwich,06870,Fairfield,(203) 698-9531 option 5,OBD Plus,L3468,admin@rsmgt.net,corporate@rsmgt.net,Orlando Coronado - Sta Mgr Mike Anderson - Ops & Admin                Ryan Shullman -  owner cell (520) 612-9132,10/10/22 - purchased site formerly known as Lube Express (ST0004722),2/25/25 - per DD will have to wait on approval from DMV. The bay will work but they will need to do some work to accommodate the 2nd unit 2/26/25 - DMV denied,
Y,,,5/9/2023,CT2100244,ST0006080,Pep Boys #277 - Waterbury,899 Wolcott St,Waterbury,06705,New Haven,(203) 757-5678,OBD Plus,,svcmngr0277@pepboys.com,,Dennis O'Doherty - Svc Mgr,new station - unit purchased MAY 2023,,
Y - under served,3/11/2026,,,CT2100017,ST0006085,Highline LLC dba Valvoline,24 Wall Street,Hebron,06248,Tolland,(860) 228-1314,Full Service,R7885,dmitchell@synpower.net,ge1619@synpower.net,"Derrick Mitchell, Dist Mgr Valvoline, Mr Sparkle","12/22/25 - unit moved to new bay,  12/31 - passed DMV ATP",,
Y,,10',,CT2100031,ST0006087,ECK Motorsports,37 Migeon Avenue,Torrington,06790,Litchfield,(203) 312-6478,Full Service,U9016,admin@eckmotorsports.com,,Baris Kara,"7/21/23 - passed final ATP, site is ready to go",,
Y,,,,CT2100203,ST0006088,Speedy Auto Repair,4 National Drive,Windsor Locks,06096,Hartford,(860) 692-4104,Full Service,R7799,speedyautorepairct@gmail.com,,Mohammad Shahid or  Imran (son) 860-997-7561,,,
Y,,,,CT2100243,ST0006089,Pep Boys - Manchester,205 Spencer Street,Manchester,06040,Hartford,(215)-430-9428,OBD Plus,R7902,Svcmngr0238@pepboys.com ,,,"8/7/23 - inquired via website, unit purchased OCT 2023","10/31/23 - activated in VID , 1/15/24 - Arash claims site should be ready by Thursday, 1/18",
Y,,,,CT2100245,ST0006090,Pep Boys #317 - Hamden,2301 Dixwell Ave,Hamden,06514,New Haven,(203) 281-4441,OBD Plus,R7907,svcmngr0317@pepboys.com,,Engelbert Andras - Manager,"8/7/23 - inquired via website, unit purchased OCT 2023","10/31/23 - activated in VID , 1/15/24 - Arash claims site should be ready by Thursday, 1/18",
Y - under served,2/4/2026,12'                bay is wide and long enough to do stretch limos,,CT2100030,ST0006091,Thomas Buffington Associates,111 Commercial Drive,Plainfield,06374,Windham,(860) 317-1079,OBD Plus,R4511,autorepair@tbabuffington.com,leodefevers@icloud.com,Leo Defevers - Manager Darlene Buffington - owner 860-377-6432                     Ryan - office,"7/21/22 - inquired via website,  thought they could replace CDLS but they are moving not withdrawing from program","3/8/24 - able to test, passed final ATP ",
Y,3/11/2026,,,CT2100202,ST0006092,Midas,90 Queen St,Southington,06489,Hartford,(860) 384-6637,OBD Plus,R7639,midasofsouthington@midasamg.com,,Adam Genuario - owner  (203) 483-3816                            Zack Veronneau - Mgr          (203) 384-6637,,,
Y,,13' ? WCB,,CT2100026,ST0006093 - inactive only 1 inspector,Federal Auto Service & Towing,272 White St,Danbury,06810,Fairfield,(203) 794-9475,Full Service,R7952,danburytowing2023@gmail.com,romelportillo554@gmail.com,Jorge Portillo  owner         (475) 279-5376,"11/28/23 - notified of transfer of ownership, no changes & keeping all staff  11/30/23 - added to VID",6/12/24 - received updated sta info,
Y,,10',,CT2100029,ST0006094,JTTS LLC (Joanna's Truck Tire Services,187 Saltonstall Parkway,East Haven,06512,New Haven,(203) 466-2600,Full Service,,completelube@aol.com                               use for bulletins and station info," jttsinvoices@gmail.com                   infraction notices, billing, etc",Sherry or Joanna,"2/1/24 - change of ownership to family member, continuing to operate under Torello Tire",,
Y,,,,CT2100035,ST0006097,United Auto Group,515 School St,Putnam,06260,Windham,(860) 928-2886,OBD Plus,U8233,carlosbastos515@gmail.com,,Carlos Bastos - owner,7/6/21 - inquired via website  9/12/23  - called to ck on status and why Putnam Ford was sold and no spot opened up.   12/7/23 - called to ck on the status of his application. claims he has people coming in all the time wondering if they can test for emissions.  would like to replace Cargill Chevrolet who withdrew in July,"3/4/24 - Lizz completed a site visit and pics are on file, J to notify DMV to do site visit 3/12 - sent info on inspector training  3/18 - sent info on registering site and signing contract, advised we cannot proceed until contract is signed 3/21 - contract signed","5/9 - Carlos advised everything is installed and they are ready for us to return DD will try to schedule for Wed, May 15  5/14 - install complete and DMV ATP Thursday  5/16 10 am 5/16/24 - approved for testing"
Y,3/26/2026,,,CT2100048,ST0006098,Valvoline,822 Sullivan Ave,S Windsor,06074,Hartford,(860) 730-4244,OBD Plus,R7967,draup@synpower.net,ge1614@synpower.net; pjferri@synpower.net,Brandon Davis - Sta Mgr        Derrick Mitchell - Dist Mgr  860-604-7101                         Paul Ferri - owner                (860) 573-0380,11/21/23 - inquired via website,"3/12/24 -  per Jack advise they need to sign contract, sent info on inspector certification 3/15 - advised they have 2 inspectors in Hebron who will be working in S Windsor 3/18 - G emailed info on signing contract","   4/9/24 - Dave to contact or swing by to see what's been done4/26 - sta emailed they now have a 2nd inspector 4/30 DD to verify site is ready  5/2/24 - notified DMV for ATP now scheduled for Monday, 10 am  5/6 - passed ATP and can begin testing"
Y,2/6/2026,10',,CT2100113,ST0006101,Valvoline,221 W Main St,Avon,06001,Hartford,(860) 606-6991,Full Service,R7993,ae1427@synpower.net,,Desron Williams - Sta Mgr,"5/2/24 - inquired via website, they will be leasing site currently operating as Foxy 44 ","5/14/24 - forwarded info on signing contract 5/16/24 - rec'd staffing plan and ins info, DMV ATP completed",
Y,3/24/2026,,,CT2100052,ST0006102,Midas,910 Barnum Ave Cutoff,Stratford,06614,Fairfield,(860) 302-9996,OBD Plus,R7481,Zveronneau@midasamg.com,,Adam Genuario - owner   (203) 856-3843                      Zack Veronneau - Mgr,5/16/24 - DD did site visit 5/20 - DMV approved 5/22/24 - added to VID 7/17/24 - paassed final ATP and is ok to test,,
Y,3/10/2026,,,CT2100151,ST0006103,Midas,755 W Main St,Branford,06405,New Haven,(203) 856-3843,OBD Plus,R7640,Zveronneau@midasamg.com,,Adam Genuario - owner   (203) 856-3843                      Zack Veronneau - Mgr,5/16/24 - DD did site visit 5/20 - DMV approved   5/22/24 - added to VID,10/9/24 - passed final ATP and are ready for testing,
Y,3/12/2026,,,CT2100076,ST0006104,United Auto Sales & Service,219 Congress Avenue,Waterbury,06708,New Haven,(203) 650-2463,OBD Plus,U9115,unitedautosales@optonline.net,cdragone@lbchevy.com; fblasius@lbchevy.com,Neil O'Leary,"4/10/24 - inquired via website, advised of process, can't do anything until they are licensed  ","6/24 - received new owner email from Bill Palomba. Contacting Fred Blasius to advise of the acceptance process, will send instructions when site is accepted  7/8/24 - site approved and new account set up, ok to sign contract ",7/28/2026 - unit moved to new bay mid July and they passed DMV ATP
Y,3/10/2026,10',,CT2100146,ST0006105,Valvoline Putnam,16 Providence Pike,Putnam,06260,Windham,(860) 819-5294,Full Service,R8031,dmitchell@synpower.net,ge1620@synpower.net,James Ferri - Manager          Derrick Mitchell - Dist Manager  (860) 244-9310,"11/21/23 - inquired via website  3/6/24 -  Lizz did a site visit and found station is still under construction. Pics on file.  8/29/24 - DMV approved site but unable to test as no DNR, 11/14 - DNR license issued, need monitor installed",12/5 - will contact us when monitor is installed  2/20/25 - passed final ATP and ready for testing,
Y,3/19/2026,,11/13/24,CT2100229,ST0006108,Hartford Auto Body,651 Windsor St,Hartford,06120,Hartford,(860) 895-6342,OBD Plus,U8018,hartfordautobodyllc@gmail.com,,Paul Gordon owner - alternative phone #s are           860-202-4752 and  860-547-1262,"9/12/24 - called to ck on the status of their install, 9/17/24 - Geoff to handle set up, contract signed   10/3 -DD went to deliver & train but was told they wanted to be a test center (app & contract he signed showed VIN/CERF only) Tablet was refused.  Deactivated contract for CTVIN8018.   ","They have work to do before the  station will meet test center program requirements  10/21 - DMV to meet DD 10/23 @ 10 am for a site evalutaion, will wait until site is approved before having them sign the test center contract  10/23 - DMV approved site 10/29 - set up in VID  10/31 - signed contract 11/13 - passed final ATP",
Y,3/4/2026,10',4/2/25,CT2100176,ST0006111,"Modern Tire OS, Inc",828 Boston Post Rd,Old Saybrook,06475,Middlesex,(860) 388-4403,Full Service,R8015,oldsaybrook@moderntirect.com,mtireinc@netscape.net,Bob Amenta - owner's cell 860-604-5700                       Joseph Fumara - Sta Mgr,9/23/24 - inquired via website  12/18/24 - DMV approved 2/17 - advised ok to get station ready for site visit 2/27/25 - signed contract,4/2/25 - passed final ATP and can begin testing,
Y,,,5/14/25,CT2100221,ST0006113,Meriden Motors,476 Colony St,Meriden,06451,New Haven,(475) 775-5040,OBD Plus,U9017,meridenmotorsllc@gmail.com,LFRODRIGUEZ1977@gmail.com,Frankie Rodriguez - owner                       (917) 715- 6924               Zachary Farrey - mgr                 (203) 910-9066,"11/1/23 - inquired via website, also interested in CERF, owns Car Guys Danbury, too"," 2/19/25 - Jack sent ""how to"" doc  3/4/25 - pics received 3/17/25 - DMV approved 3/20/25 - emailed inspector training info",5/13 - Opus completed install 5/14  - DMV ATP 10 am - Passed
Y,2/4/2026,,4/11/25,CT2100214,ST0006114,Wiz Leasing,505 Ferry Blvd,Stratford,06614,Fairfield,(203) 375-3800         ext 6006,OBD Plus,U8699,wizleasing@yahoo.com,Kyle@wizautos.com,Tom Thorndike - Sta Mgr Kyle Kushel - Controller,"7/31/23 - inquired via website, advised of previous application and no recent withdrawals in Statford.  They have 3 locations and are going to add Milford to the waiting list","12/12 - moving unit from ST6099 to another location 1/30/25 - DD advises work to be done at site   2/26/25 - DMV approved site, WCB when ready  4/8 - unit 2b installed tomorrow,  4/11/25 - passed final ATP and can begin testing",
